index,title,level,md5,easy,hard,AAA,easy discrimination,hard discrimination,AAA discrimination
0,Lonely Orbit [Prologue],★★6,00507351968af8e4e53eb2176aec2c73,62.03061216457349,83.58656337962829,79.60183793641276,24.46456144157439,31.308399873334487,39.92397803803765
1,res extensa [BLEND],★6,0067c0db481dcf62495a861b4e5f0e9b,32.367541258798575,50.077764473238,43.66838397078401,23.094115009358255,25.9478349314128,35.22308222614129
2,水晶世界 〜Fracture〜 [DP ANOTHER],★6,00d3649022ee9100d867ea17dd20e191,34.27706566457923,47.725332315673505,32.069459768528645,18.57651217136964,26.577985581476202,29.864187137713465
3,Spider Dance [AHUTHER],★★4,00de602c7f3d1adb81f21238e7e845bf,64.66851153748654,75.8723702388552,70.56020100183241,20.12543919792157,30.796997443530433,41.80712806530576
4,End Time [neptune],★★10,01235b8c51c50d28afbfcd4872b37455,81.30869390176792,94.68616285960485,93.05072036130514,28.98566116231187,24.33178006270385,31.712862745660708
5,明空リュウセイグン [DP Daybreak],sl3,0145890caff6b35499af4a3ae3f9ac02,25.77407732826675,39.81336667181224,19.960749892849684,13.54140634302384,18.586432724172123,25.504736690081867
6,Pluto [EX14],★7,018cd06674a025dc0df446d55ab54003,39.94146706505579,47.73395364255193,56.75564302076798,17.385181101883074,20.630387490696286,29.962528256715878
7,堕楽の園 [Magic],★★6,01acd82d22edc820b093441c1ceb2d73,68.0473799553602,83.12757171307233,75.94285826218228,20.1624063926883,30.582555523667647,41.05395773480179
8,Magical Love Words (ぜったい、ぜーったい両皆伝になるんだっ！),★7,01b379101ac68b39aca8af9ba495ea7c,34.784687717165085,51.216452126106525,36.2088428893957,16.041670797508395,25.1098304820588,29.391891443898125
9,REspEcT-B.A.U MIX- [Kumanother],★6,01b608bffba4361cb1f0fc1350445001,28.52495135777781,45.75236015262121,32.203813385358785,18.127674261902857,20.8295131297667,28.655827158003216
10,suffruti,sl12,01bd9b363a1d5c87998b077d60f96875,61.74587367842999,75.04841150932492,74.80684151046347,20.81858354115059,33.84163066240997,37.21115050710942
11,Elysian Forest [DP EXTRA],★1,01d70aa32dccbd62715b9f15537b71f7,18.146637843091554,31.55649452915596,26.354883627033548,18.670482659709666,19.691500165667787,32.43976845352941
12,ELECTRiCiTY [DP INSANE],sl7,028d2eb267753e281eea1f23a2458492,39.24519301457339,57.07058448762585,42.544813370414985,7.148287879745624,19.17189199220418,36.008845779568546
13,P-ChicK-ParK (DP ANOTHER),★2,02f3e58bd59dc6d3653b02be84524698,19.30006210088511,33.21746795480711,21.325346439200935,20.341008557840407,24.341626313141237,27.34759415609211
14,Summer White [DP ANOTHER],sl0,030056b702515b5f64d6b557513293a0,13.73456845881646,25.06493239589903,14.899353489085543,21.63856592937744,10.701690297681152,33.917282256143615
15,恋わずらい -shiny party floor-,★7,030a9c1f00082a5d63a451783e8b662e,36.62273584160232,56.75631242480404,53.57207221568395,15.979307155985426,31.508983641117986,33.294855913200315
16,Cutter [DP ANOTHER],sl0,032f2470cdd02273a64a0aaa24d9a07f,0.22215701303807564,26.321849387349914,12.83985913373034,24.571885485938402,6.621430732969304,22.85293820138719
17,アトロポスと最果の探求者 [DP sub black another],sl7,0335197a43d3a8aa66d06079c5112f96,37.9754347019809,55.52314884445155,43.51318813082059,14.185837353028933,29.504314929322813,22.069332944418587
18,BBBLOW (EX14),★11,0336fef6ffbc308a99b6b9db7d0539ed,56.42187866555,69.48505058068285,71.23613097112718,15.488149476717522,24.99980852140409,26.438918836703845
19,CLOCKTOWER (Abraj Al Bait Towers),★★5,03c2d647ba044238e256bc6e53927f38,64.3779433113572,73.16377565196213,54.61264482197804,20.205764732117803,25.458635049585514,40.9817333664541
20,::AbnormalityPurificator:: [DP INSANE],sl12,03ee34febbb179b1ebc15cf0de53b803,57.28025445919561,71.46689813010791,69.88200646946498,14.588365593438189,39.973710671571794,40.899141997093515
21,午後のこいしちゃん [DP ⌒ワ⌒],★3,04444711afe3b0776835b23f4d4bf2eb,27.764480355647855,36.980779278619146,19.51519725563565,22.139344099273018,17.07635321314474,26.581133515674765
22,GIFT [14key Another],sl6,04a0afae2e165a4676c777d9bb9b55db,35.91281244001477,53.43580418532754,45.33458971430032,13.52221710579979,32.89746482804308,26.614563209687898
23,Re/Im [DP M-Another],★2,04bd108676a4d74c9667f1d46c598771,22.011461472346824,36.99153229965596,27.531925324209656,17.151207196518975,25.108857252643393,28.618184458190868
24,図書室のエルザ (litmus* Remix) [DP ALL KEY],★★8,04e242d7bf118156285d8270eff7c2cd,71.16475009489821,88.42802930883451,79.00927413934707,13.195791643925919,28.740707252284352,39.60250576692972
25,Air ANOTHER,★7,052d61fdf07cd9b0562c481f93b60aa2,40.16875036656908,52.634858792173304,56.73737314360368,15.740644057241207,24.28611289442092,31.016171926412497
26,TEN -Q-,sl9,053a9df4c39af51f5437b7377101a0e6,41.794624883461296,59.54518903766734,55.30633432000469,14.992954198264828,25.322064719641943,26.7978024503981
27,藍より青い憧憬,sl4,058922a838838d529da9766a2f683b84,27.27109214651885,41.4147567257303,13.729413022324177,24.599754660366287,10.044491041301326,45.216404188513216
28,Wizdomiot [Withdammit],★★10,05ad2a77b4a02201bf8b7a2fef83bb5c,81.26247080074869,88.68759753984915,97.21389128266168,32.56861568002446,31.988286692162703,33.92369000203886
29,歪んだ樹 -和尚を超えし者-,★★99,05bb9025d815eef7a971bb1656381218,97.86291032932154,97.86291032932154,97.10150323035629,25.401401845300427,25.401401845300427,33.24862188677392
30,ハイ色乞語リ [DP CHALLENGER],★9,05d569d03ea95e757d512cf19ba3507d,39.83766416223421,60.50283097284104,49.0293788700287,12.028882898125888,28.406045043260562,31.027621668666846
31,玉の緒よ (双永呪),★★99,06035b002baf207599b7eb48f76e14b4,65.71262612755477,88.27866270805086,95.23225573508114,11.41849606927627,26.174889157689766,31.508920315402396
32,rainy beauty DENIM,★?,06102db64b3404039898e21b59196e7f,53.88764896287667,68.67805496172006,60.1636336683185,10.036700231203097,13.404682203898643,23.87496533817755
33,BiBiRi [Heartbeat],★7,065d1040777adf6c0f217bc4ff2cb6cd,31.56375456210382,53.82989930487727,47.51289426623845,14.163779599903888,27.2236626721524,34.08546805301513
34,First Creation [ANOTHER],★2,0679dc2738135b8584327e7440aa6046,25.582874300573245,37.281366134407094,37.1564892826144,20.836263813694075,22.637555303902168,31.58738440984808
35,現実をカットアップしてみた [DPA.NOTHER+],sl3,069810a738deb692f8a9044f80a8502b,25.87186429593028,40.534327429490325,36.42795755576212,10.033954100989938,15.203020784203035,23.15283940840934
36,Demystify Feast [DP NORMAL],★10,06aaaecc446ab49377e67a205be253a2,51.869260629306424,65.30996201855008,59.72467773721458,10.818188016407221,26.42379548537598,36.17604400739162
37,オリオンの歌 [DP Another],★2,06cbd0de3a90da1bb5a24b3197880154,24.788715720842713,38.44085762397467,35.98826387721505,10.439149732185253,14.641905424334494,25.721614111565387
38,Flesvelka ANOTHER,★3,06df9f0b605ddc60bb4b996307ab6bbb,29.600160022986355,40.568251422106016,40.416482158100116,16.06015286251241,22.910263627225007,31.390141823222702
39,ROCKET KID [DP ε=>■>],★7,06f45c43624c1d6fc5b5d2aa49368566,39.03265536648281,54.74054959887912,50.62386371415294,17.257230502678436,25.242129004425667,25.473814905684645
40,FATAL ERROR [notice 14],★★2,06f86a760906b01757ea5a2e88d5fbf5,57.31577449464231,78.38675222749087,70.73561898675847,13.262294062624653,29.510199924001284,39.024715433798214
41,彼岸帰航 -idling mix-,★7,07979e06ec8e3a2b08dc5df8f1d39efe,30.17108175748401,52.0341504590528,57.87854802111836,14.581595480529439,26.134172098131607,28.858484512547996
42,G e n g a o z o _ D P A,★5,07e6ffc2a5c958474927bd8d937384e3,31.17094253574279,47.503999394997074,51.83738429486689,14.105233183187197,22.831871886857282,28.65776770501418
43,平衡世界 Parallel World [White Eternity],★★1,07ea69b9a864dac1a7e0535e28adccbc,53.562790551946165,69.30485418381257,69.15827922111416,16.2259341168829,28.131855742119455,34.099880345181354
44,Bird Sprite [DP Spiritual],★★8,0858a9a5ced84e08ad0444baa3cee717,80.4198868294909,83.49637184208743,79.02104258023068,34.53311083921319,33.846461889292726,42.78458372462122
45,"Red-rize ""B172 mix"" // 14keys",★5,085de50d52e924d5387c477b789368d1,29.80920689992202,47.43362449547827,40.63309083610616,13.899497699574624,24.237003480879117,34.71477379265483
46,飛燕草 [DP hututher],★★1,0876eb1d0cb0e0cdd774596103885fd1,48.980079876332816,63.2983004258275,59.00450493509583,12.922652856704538,25.988599545057102,32.504030992085255
47,Tartaros　 -12m-,sl8,08e62a99f61826c978b45ec93c490dbf,44.67196373000472,56.03669023480213,45.641308592566084,15.64299263869432,29.58513469840995,36.30047208150438
48,Mario Paint (Time Regression Mix for BMS) -4つ同時押し-,sl9,091001b3a2865a7c463f882de5377679,45.247689036441365,59.710277980369675,28.820874577592583,9.29475140801492,21.360902508692394,14.523173050556434
49,Leviathan [Double],sl4,09170a7abead9fcb7fed236527017ad6,25.933502737910104,42.199044485313316,33.67287410594393,16.650295867263164,14.528885923330941,23.30291276455674
